geometry,distance_along_m,heading
POINT (-65.552278 49.256363500000006),7362.48244983446,102.75619526587366
POINT (-65.551943 49.256314),7387.483206352083,105.25920529979419
POINT (-65.55170150000001 49.256271),7405.702612609383,105.25919262192565
POINT (-65.55146 49.256228),7423.922032147884,112.28540519468504
POINT (-65.55121700000001 49.256163),7443.0319428295625,112.28537871857907
POINT (-65.550974 49.256098),7462.141873464292,119.50113078928973
POINT (-65.5507005 49.255997),7485.002180264035,119.50108053623364
POINT (-65.550427 49.255896),7507.862520313398,128.76917301938954
POINT (-65.550241 49.2557985),7525.209808139056,128.76911776303808
POINT (-65.550055 49.255701),7542.55711562491,131.02649235495034
POINT (-65.54993350000001 49.255632000000006),7554.267104090201,131.02645269564164
POINT (-65.549812 49.255563),7565.977101350525,145.71508611959348
POINT (-65.5497065 49.255462),7579.584633870817,145.71503155549522
POINT (-65.549601 49.255361),7593.192174618534,155.20959986938374
POINT (-65.54951750000001 49.255243),7607.655238955506,155.20954772801622
POINT (-65.549434 49.255125),7622.11830876713,163.05979967407757
POINT (-65.54942 49.255095),7625.607016427916,163.05978998067667
POINT (-65.549406 49.255065),7629.095724235423,162.5273380362264
POINT (-65.549372 49.2549945),7637.31793907705,162.52731460003588
POINT (-65.549338 49.254924),7645.540154803692,170.76717703253382
POINT (-65.5492075 49.254400000000004),7704.587253846172,170.76708071060943
POINT (-65.549077 49.253876),7763.634361802499,165.50775194411244
POINT (-65.5490275 49.253750999999994),7777.995975033499,165.5077167947186
POINT (-65.548978 49.253626),7792.357590050258,157.85437636786605
POINT (-65.548925 49.253541),7802.568155538535,157.8543419259379
POINT (-65.548872 49.253456),7812.778723234769,147.82041160574073
POINT (-65.548805 49.253386500000005),7821.918665907424,147.8203752447065
POINT (-65.548738 49.253317),7831.058611965942,140.5592010776636
POINT (-65.54864599999999 49.253244),7841.583614798617,140.55915951692816
POINT (-65.548554 49.253171),7852.108623528549,133.55091024063194
POINT (-65.5482615 49.2529895),7881.4502329228935,133.5508050420234
POINT (-65.547969 49.252808),7910.791895784428,129.03748893336785
POINT (-65.5477555 49.252695),7930.780336928257,129.03742477290473
POINT (-65.547542 49.252582),7950.768804129702,125.27870768518699
POINT (-65.54724100000001 49.252443),7977.586591096974,125.27863161652203
POINT (-65.54694 49.252304),8004.404425514109,116.1893786320162
POINT (-65.54680450000001 49.252260500000006),8015.391709185236,116.18935863304608
POINT (-65.546669 49.252217),8026.379000138389,110.21744903522404
POINT (-65.546513 49.2521795),8038.477867616791,110.21743491268649
POINT (-65.546357 49.252142),8050.576742545223,102.96160161252271
POINT (-65.5462505 49.252126000000004),8058.5318739994045,102.96159755834964
POINT (-65.546144 49.25211),8066.487007616872,97.17996029615949
POINT (-65.54595549999999 49.2520945),8080.318288636969,97.17995806728783
POINT (-65.545767 49.252079),8094.149573058518,89.4396413135837
POINT (-65.54553200000001 49.252080500000005),8111.259181700186,89.43964129302816
POINT (-65.545297 49.252082),8128.368788492544,80.49296506195248
POINT (-65.5451735 49.252095499999996),8137.48450236713,80.4929625117199
POINT (-65.54505 49.252109),8146.60021344978,76.21613283009123
POINT (-65.54489699999999 49.2521335),8158.067551845762,76.21612625057867
POINT (-65.544744 49.252158),8169.534884303824,72.96464027810731
